,building_id,timestamp,meter_reading,anomaly
11,112,2016-01-01 00:00:00,10.275,0
211,112,2016-01-01 01:00:00,20.55,0
409,112,2016-01-01 02:00:00,1.0,1
608,112,2016-01-01 03:00:00,1.0,1
807,112,2016-01-01 04:00:00,1.0,1
1006,112,2016-01-01 05:00:00,1.0,1
1205,112,2016-01-01 06:00:00,1.0,1
1404,112,2016-01-01 07:00:00,1.0,1
1603,112,2016-01-01 08:00:00,1.0,1
1802,112,2016-01-01 09:00:00,1.0,1
2001,112,2016-01-01 10:00:00,1.0,1
2200,112,2016-01-01 11:00:00,1.0,1
2399,112,2016-01-01 12:00:00,1.0,1
2598,112,2016-01-01 13:00:00,1.0,1
2797,112,2016-01-01 14:00:00,1.0,1
2996,112,2016-01-01 15:00:00,1.0,1
3195,112,2016-01-01 16:00:00,1.0,1
3394,112,2016-01-01 17:00:00,1.0,1
3593,112,2016-01-01 18:00:00,1.0,1
3792,112,2016-01-01 19:00:00,1.0,1
3991,112,2016-01-01 20:00:00,1.0,1
4190,112,2016-01-01 21:00:00,1.0,1
4389,112,2016-01-01 22:00:00,1.0,1
4588,112,2016-01-01 23:00:00,1.0,1
4787,112,2016-01-02 00:00:00,21.652,0
4986,112,2016-01-02 01:00:00,20.902,0
5184,112,2016-01-02 02:00:00,20.629,0
5383,112,2016-01-02 03:00:00,21.316,0
5582,112,2016-01-02 04:00:00,21.817,0
5781,112,2016-01-02 05:00:00,22.066,0
5980,112,2016-01-02 06:00:00,22.567,0
6179,112,2016-01-02 07:00:00,22.941,0
6378,112,2016-01-02 08:00:00,21.879,0
6577,112,2016-01-02 09:00:00,24.379,0
6776,112,2016-01-02 10:00:00,24.317,0
6975,112,2016-01-02 11:00:00,24.004,0
7174,112,2016-01-02 12:00:00,25.191,0
7373,112,2016-01-02 13:00:00,23.942,0
7572,112,2016-01-02 14:00:00,22.879,0
7771,112,2016-01-02 15:00:00,23.004,0
7970,112,2016-01-02 16:00:00,23.879,0
8169,112,2016-01-02 17:00:00,25.004,0
8368,112,2016-01-02 18:00:00,23.566,0
8567,112,2016-01-02 19:00:00,23.879,0
8766,112,2016-01-02 20:00:00,23.004,0
8965,112,2016-01-02 21:00:00,23.442,0
9164,112,2016-01-02 22:00:00,23.379,0
9363,112,2016-01-02 23:00:00,22.129,0
9562,112,2016-01-03 00:00:00,21.692,0
9761,112,2016-01-03 01:00:00,22.441,0
9959,112,2016-01-03 02:00:00,22.192,0
10158,112,2016-01-03 03:00:00,20.816,0
10357,112,2016-01-03 04:00:00,17.067,0
10556,112,2016-01-03 05:00:00,19.191,0
10755,112,2016-01-03 06:00:00,18.317,0
10954,112,2016-01-03 07:00:00,19.566,0
11153,112,2016-01-03 08:00:00,18.442,0
11352,112,2016-01-03 09:00:00,20.941,0
11551,112,2016-01-03 10:00:00,20.442,0
11750,112,2016-01-03 11:00:00,18.379,0
11949,112,2016-01-03 12:00:00,17.754,0
12148,112,2016-01-03 13:00:00,18.629,0
12347,112,2016-01-03 14:00:00,19.316,0
12546,112,2016-01-03 15:00:00,23.379,0
12745,112,2016-01-03 16:00:00,23.254,0
12944,112,2016-01-03 17:00:00,23.442,0
13143,112,2016-01-03 18:00:00,21.754,0
13342,112,2016-01-03 19:00:00,21.879,0
13541,112,2016-01-03 20:00:00,21.941,0
13740,112,2016-01-03 21:00:00,22.692,0
13939,112,2016-01-03 22:00:00,21.129,0
14138,112,2016-01-03 23:00:00,20.941,0
14337,112,2016-01-04 00:00:00,21.566,0
14536,112,2016-01-04 01:00:00,21.066,0
14734,112,2016-01-04 02:00:00,20.879,0
14933,112,2016-01-04 03:00:00,20.442,0
15132,112,2016-01-04 04:00:00,20.754,0
15331,112,2016-01-04 05:00:00,20.129,0
15530,112,2016-01-04 06:00:00,26.316,0
15728,112,2016-01-04 07:00:00,24.567,0
15926,112,2016-01-04 08:00:00,22.691,0
16125,112,2016-01-04 09:00:00,28.067,0
16324,112,2016-01-04 10:00:00,35.191,0
16523,112,2016-01-04 11:00:00,35.504,0
16722,112,2016-01-04 12:00:00,35.567,0
16921,112,2016-01-04 13:00:00,37.691,0
17120,112,2016-01-04 14:00:00,38.817,0
17319,112,2016-01-04 15:00:00,38.566,0
17518,112,2016-01-04 16:00:00,39.942,0
17717,112,2016-01-04 17:00:00,38.754,0
17916,112,2016-01-04 18:00:00,38.504,0
18115,112,2016-01-04 19:00:00,34.316,0
18314,112,2016-01-04 20:00:00,28.754,0
18513,112,2016-01-04 21:00:00,24.567,0
18712,112,2016-01-04 22:00:00,23.441,0
18911,112,2016-01-04 23:00:00,22.817,0
19110,112,2016-01-05 00:00:00,23.129,0
19309,112,2016-01-05 01:00:00,22.817,0
19507,112,2016-01-05 02:00:00,22.316,0
19706,112,2016-01-05 03:00:00,24.192,0
19905,112,2016-01-05 04:00:00,23.566,0
20104,112,2016-01-05 05:00:00,23.129,0
20303,112,2016-01-05 06:00:00,28.129,0
20502,112,2016-01-05 07:00:00,27.879,0
20701,112,2016-01-05 08:00:00,25.629,0
20900,112,2016-01-05 09:00:00,30.567,0
21099,112,2016-01-05 10:00:00,35.379,0
21298,112,2016-01-05 11:00:00,35.254,0
21497,112,2016-01-05 12:00:00,42.004,0
21696,112,2016-01-05 13:00:00,42.691,0
21895,112,2016-01-05 14:00:00,40.692,0
22094,112,2016-01-05 15:00:00,42.504,0
22293,112,2016-01-05 16:00:00,42.129,0
22492,112,2016-01-05 17:00:00,41.816,0
22691,112,2016-01-05 18:00:00,37.067,0
22890,112,2016-01-05 19:00:00,32.004,0
23089,112,2016-01-05 20:00:00,30.191,0
23288,112,2016-01-05 21:00:00,26.442,0
23487,112,2016-01-05 22:00:00,25.441,0
23686,112,2016-01-05 23:00:00,24.254,0
23885,112,2016-01-06 00:00:00,27.176,0
24084,112,2016-01-06 01:00:00,27.170791666666666,0
24282,112,2016-01-06 02:00:00,27.16558333333333,0
24481,112,2016-01-06 03:00:00,27.160375,0
24680,112,2016-01-06 04:00:00,27.155166666666666,0
24879,112,2016-01-06 05:00:00,27.14995833333333,0
