,building_id,timestamp,meter_reading,anomaly
53,492,2016-01-01 00:00:00,112.92,0
253,492,2016-01-01 01:00:00,113.24,0
451,492,2016-01-01 02:00:00,113.35,0
650,492,2016-01-01 03:00:00,113.06,0
849,492,2016-01-01 04:00:00,113.1,0
1048,492,2016-01-01 05:00:00,112.64,0
1247,492,2016-01-01 06:00:00,112.62,0
1446,492,2016-01-01 07:00:00,113.02,0
1645,492,2016-01-01 08:00:00,112.98,0
1844,492,2016-01-01 09:00:00,109.38,0
2043,492,2016-01-01 10:00:00,108.39,0
2242,492,2016-01-01 11:00:00,108.58,0
2441,492,2016-01-01 12:00:00,110.86,0
2640,492,2016-01-01 13:00:00,115.38,0
2839,492,2016-01-01 14:00:00,116.29,0
3038,492,2016-01-01 15:00:00,116.09,0
3237,492,2016-01-01 16:00:00,115.99,0
3436,492,2016-01-01 17:00:00,114.31,0
3635,492,2016-01-01 18:00:00,120.77,0
3834,492,2016-01-01 19:00:00,122.5,0
4033,492,2016-01-01 20:00:00,122.98,0
4232,492,2016-01-01 21:00:00,117.6,0
4431,492,2016-01-01 22:00:00,118.13,0
4630,492,2016-01-01 23:00:00,114.51,0
4829,492,2016-01-02 00:00:00,113.51,0
5028,492,2016-01-02 01:00:00,113.34,0
5226,492,2016-01-02 02:00:00,113.26,0
5425,492,2016-01-02 03:00:00,113.07,0
5624,492,2016-01-02 04:00:00,113.09,0
5823,492,2016-01-02 05:00:00,112.78,0
6022,492,2016-01-02 06:00:00,112.79,0
6221,492,2016-01-02 07:00:00,112.25,0
6420,492,2016-01-02 08:00:00,112.44,0
6619,492,2016-01-02 09:00:00,108.54,0
6818,492,2016-01-02 10:00:00,108.21,0
7017,492,2016-01-02 11:00:00,108.83,0
7216,492,2016-01-02 12:00:00,108.62,0
7415,492,2016-01-02 13:00:00,108.39,0
7614,492,2016-01-02 14:00:00,108.58,0
7813,492,2016-01-02 15:00:00,108.5,0
8012,492,2016-01-02 16:00:00,108.67,0
8211,492,2016-01-02 17:00:00,109.11,0
8410,492,2016-01-02 18:00:00,115.48,0
8609,492,2016-01-02 19:00:00,117.36,0
8808,492,2016-01-02 20:00:00,117.25,0
9007,492,2016-01-02 21:00:00,117.01,0
9206,492,2016-01-02 22:00:00,117.69,0
9405,492,2016-01-02 23:00:00,113.85,0
9604,492,2016-01-03 00:00:00,112.5,0
9803,492,2016-01-03 01:00:00,112.34,0
10001,492,2016-01-03 02:00:00,112.64,0
10200,492,2016-01-03 03:00:00,112.78,0
10399,492,2016-01-03 04:00:00,112.73,0
10598,492,2016-01-03 05:00:00,112.54,0
10797,492,2016-01-03 06:00:00,112.63,0
10996,492,2016-01-03 07:00:00,112.15,0
11195,492,2016-01-03 08:00:00,112.44,0
11394,492,2016-01-03 09:00:00,108.74,0
11593,492,2016-01-03 10:00:00,108.07,0
11792,492,2016-01-03 11:00:00,108.05,0
11991,492,2016-01-03 12:00:00,108.05,0
12190,492,2016-01-03 13:00:00,107.47,0
12389,492,2016-01-03 14:00:00,108.15,0
12588,492,2016-01-03 15:00:00,108.02,0
12787,492,2016-01-03 16:00:00,108.01,0
12986,492,2016-01-03 17:00:00,108.79,0
13185,492,2016-01-03 18:00:00,114.77,0
13384,492,2016-01-03 19:00:00,117.19,0
13583,492,2016-01-03 20:00:00,117.64,0
13782,492,2016-01-03 21:00:00,117.63,0
13981,492,2016-01-03 22:00:00,117.99,0
14180,492,2016-01-03 23:00:00,114.31,0
14379,492,2016-01-04 00:00:00,113.04,0
14578,492,2016-01-04 01:00:00,307.49,0
14776,492,2016-01-04 02:00:00,306.57,0
14975,492,2016-01-04 03:00:00,307.46,0
15174,492,2016-01-04 04:00:00,307.5,0
15373,492,2016-01-04 05:00:00,305.9,0
15571,492,2016-01-04 06:00:00,306.96,0
15769,492,2016-01-04 07:00:00,306.26,0
15968,492,2016-01-04 08:00:00,306.15,0
16167,492,2016-01-04 09:00:00,300.94,0
16366,492,2016-01-04 10:00:00,296.28,0
16565,492,2016-01-04 11:00:00,295.84,0
16764,492,2016-01-04 12:00:00,296.9,0
16963,492,2016-01-04 13:00:00,305.32,0
17162,492,2016-01-04 14:00:00,307.45,0
17361,492,2016-01-04 15:00:00,309.95,0
17560,492,2016-01-04 16:00:00,309.74,0
17759,492,2016-01-04 17:00:00,310.63,0
17958,492,2016-01-04 18:00:00,312.2,0
18157,492,2016-01-04 19:00:00,312.2,0
18356,492,2016-01-04 20:00:00,312.2,0
18555,492,2016-01-04 21:00:00,312.2,0
18754,492,2016-01-04 22:00:00,312.2,0
18953,492,2016-01-04 23:00:00,306.43,0
19152,492,2016-01-05 00:00:00,305.28,0
19351,492,2016-01-05 01:00:00,284.42,0
19549,492,2016-01-05 02:00:00,283.93,0
19748,492,2016-01-05 03:00:00,283.97,0
19947,492,2016-01-05 04:00:00,284.22,0
20146,492,2016-01-05 05:00:00,283.17,0
20345,492,2016-01-05 06:00:00,284.05,0
20544,492,2016-01-05 07:00:00,283.54,0
20743,492,2016-01-05 08:00:00,283.45,0
20942,492,2016-01-05 09:00:00,280.73,0
21141,492,2016-01-05 10:00:00,277.26,0
21340,492,2016-01-05 11:00:00,275.49,0
21539,492,2016-01-05 12:00:00,278.81,0
21738,492,2016-01-05 13:00:00,287.74,0
21937,492,2016-01-05 14:00:00,290.65,0
22136,492,2016-01-05 15:00:00,291.04,0
22335,492,2016-01-05 16:00:00,290.83,0
22534,492,2016-01-05 17:00:00,292.04,0
22733,492,2016-01-05 18:00:00,305.52,0
22932,492,2016-01-05 19:00:00,311.38,0
23131,492,2016-01-05 20:00:00,309.74,0
23330,492,2016-01-05 21:00:00,298.1,0
23529,492,2016-01-05 22:00:00,299.28,0
23728,492,2016-01-05 23:00:00,289.71,0
23927,492,2016-01-06 00:00:00,285.63,0
24126,492,2016-01-06 01:00:00,193.61,0
24324,492,2016-01-06 02:00:00,193.33,0
24523,492,2016-01-06 03:00:00,194.33,0
24722,492,2016-01-06 04:00:00,193.57,0
24921,492,2016-01-06 05:00:00,193.47,0
25119,492,2016-01-06 06:00:00,193.63,0
25318,492,2016-01-06 07:00:00,193.09,0
25517,492,2016-01-06 08:00:00,192.71,0
25716,492,2016-01-06 09:00:00,191.22,0
25915,492,2016-01-06 10:00:00,187.8,0
26112,492,2016-01-06 11:00:00,187.62,0
26311,492,2016-01-06 12:00:00,188.86,0
26510,492,2016-01-06 13:00:00,192.19,0
26709,492,2016-01-06 14:00:00,194.19,0
26908,492,2016-01-06 15:00:00,195.92,0
27107,492,2016-01-06 16:00:00,194.93,0
27306,492,2016-01-06 17:00:00,195.05,0
27505,492,2016-01-06 18:00:00,202.85,0
27704,492,2016-01-06 19:00:00,177.11,0
27903,492,2016-01-06 20:00:00,201.13,0
28102,492,2016-01-06 21:00:00,196.33,0
28301,492,2016-01-06 22:00:00,172.08,0
28500,492,2016-01-06 23:00:00,182.39,0
28699,492,2016-01-07 00:00:00,179.04,0
28896,492,2016-01-07 01:00:00,166.71,0
29092,492,2016-01-07 02:00:00,189.96,0
29289,492,2016-01-07 03:00:00,151.39,0
29486,492,2016-01-07 04:00:00,190.93,0
29683,492,2016-01-07 05:00:00,160.17,0
29879,492,2016-01-07 06:00:00,151.25,0
30076,492,2016-01-07 07:00:00,146.53,0
30273,492,2016-01-07 08:00:00,146.53,0
30470,492,2016-01-07 09:00:00,143.05,0
30667,492,2016-01-07 10:00:00,142.37,0
30864,492,2016-01-07 11:00:00,142.4,0
31061,492,2016-01-07 12:00:00,143.17,0
31258,492,2016-01-07 13:00:00,147.34,0
31455,492,2016-01-07 14:00:00,149.37,0
31652,492,2016-01-07 15:00:00,127.53,0
31849,492,2016-01-07 16:00:00,114.22,0
32046,492,2016-01-07 17:00:00,114.22,0
32243,492,2016-01-07 18:00:00,121.33,0
32440,492,2016-01-07 19:00:00,125.76,0
32637,492,2016-01-07 20:00:00,122.26,0
32834,492,2016-01-07 21:00:00,117.6,0
33031,492,2016-01-07 22:00:00,118.08,0
33228,492,2016-01-07 23:00:00,114.36,0
33425,492,2016-01-08 00:00:00,112.92,0
33622,492,2016-01-08 01:00:00,113.24,0
33818,492,2016-01-08 02:00:00,113.35,0
34015,492,2016-01-08 03:00:00,113.06,0
34212,492,2016-01-08 04:00:00,113.1,0
34409,492,2016-01-08 05:00:00,112.64,0
34605,492,2016-01-08 06:00:00,112.62,0
34801,492,2016-01-08 07:00:00,113.02,0
34997,492,2016-01-08 08:00:00,112.98,0
35194,492,2016-01-08 09:00:00,109.38,0
35391,492,2016-01-08 10:00:00,108.39,0
35588,492,2016-01-08 11:00:00,108.58,0
35785,492,2016-01-08 12:00:00,110.86,0
35982,492,2016-01-08 13:00:00,115.38,0
36179,492,2016-01-08 14:00:00,116.29,0
36376,492,2016-01-08 15:00:00,116.09,0
36573,492,2016-01-08 16:00:00,115.99,0
36770,492,2016-01-08 17:00:00,114.31,0
36967,492,2016-01-08 18:00:00,120.77,0
37164,492,2016-01-08 19:00:00,122.5,0
37361,492,2016-01-08 20:00:00,122.98,0
37558,492,2016-01-08 21:00:00,117.6,0
37755,492,2016-01-08 22:00:00,118.13,0
37952,492,2016-01-08 23:00:00,114.51,0
38149,492,2016-01-09 00:00:00,113.51,0
38347,492,2016-01-09 01:00:00,113.34,0
38544,492,2016-01-09 02:00:00,113.26,0
38742,492,2016-01-09 03:00:00,113.07,0
38940,492,2016-01-09 04:00:00,113.09,0
39138,492,2016-01-09 05:00:00,112.78,0
